nilai_mtk_sma,nilai_ipa_sma,nilai_fisika_sma,nilai_bahasa_indonesia_sma,nilai_bahasa_inggris_sma,sma_asal,jurusan_kuliah_sekarang,semester_sekarang,ipk_sekarang
94.84,82.65,94.53,68.88,66.28,SMA_37,Teknik Elektro,5,3.42
88.24,76.69,86.2,64.14,73.89,SMA_2,Teknik Elektro,5,3.24
84.22,78.4,96.52,66.45,81.8,SMA_36,Teknik Elektro,1,3.46
81.16,82.18,89.03,72.99,76.15,SMA_8,Teknik Elektro,1,3.46
86.67,78.64,81.88,74.48,84.76,SMA_49,Teknik Elektro,3,3.04
87.09,80.82,97.74,69.37,80.26,SMA_44,Teknik Elektro,1,3.36
80.73,87.28,94.84,63.75,83.82,SMA_16,Teknik Elektro,2,3.79
82.45,76.12,82.44,65.93,79.53,SMA_29,Teknik Elektro,8,3.18
81.74,88.85,97.12,62.8,70.05,SMA_1,Teknik Elektro,6,3.38
89.41,78.37,81.34,61.9,83.15,SMA_22,Teknik Elektro,5,3.06
92.84,85.6,83.68,69.84,78.69,SMA_32,Teknik Elektro,5,3.77
89.75,76.66,83.44,79.82,67.1,SMA_29,Teknik Elektro,8,3.33
94.86,84.02,98.45,77.6,77.08,SMA_44,Teknik Elektro,5,3.02
87.06,81.1,93.33,63.23,79.75,SMA_11,Teknik Elektro,6,3.06
89.27,87.55,85.1,66.1,69.74,SMA_15,Teknik Elektro,4,3.06
84.24,78.75,85.03,72.1,84.78,SMA_49,Teknik Elektro,3,3.3
94.64,81.87,99.68,78.81,81.82,SMA_2,Teknik Elektro,3,3.15
90.1,83.36,93.58,74.66,73.66,SMA_42,Teknik Elektro,4,3.1
86.61,78.78,88.05,60.79,79.46,SMA_42,Teknik Elektro,6,3.19
84.35,76.65,81.28,63.2,78.37,SMA_35,Teknik Elektro,8,3.33
94.04,71.9,93.14,77.82,76.95,SMA_17,Teknik Komputer,4,3.88
92.18,89.67,94.58,72.43,89.95,SMA_20,Teknik Komputer,1,3.62
