nilai_mtk_sma,nilai_ipa_sma,nilai_fisika_sma,nilai_bahasa_indonesia_sma,nilai_bahasa_inggris_sma,sma_asal,jurusan_kuliah_sekarang,semester_sekarang,ipk_sekarang
91.76,79.5,81.16,68.5,77.49,SMA_36,Teknik Elektro,6,3.36
89.52,75.71,95.11,60.38,76.15,SMA_45,Teknik Elektro,3,3.26
83.74,80.58,81.29,69.89,71.65,SMA_14,Teknik Elektro,8,3.39
91.37,78.94,85.11,78.93,67.74,SMA_36,Teknik Elektro,7,3.01
84.7,89.86,83.39,66.92,83.08,SMA_14,Teknik Elektro,1,3.34
94.06,80.93,83.9,68.15,69.58,SMA_9,Teknik Elektro,6,3.34
80.64,79.61,82.13,76.58,69.25,SMA_46,Teknik Elektro,2,3.63
86.61,78.32,90.42,74.28,68.56,SMA_29,Teknik Elektro,4,3.19
93.69,82.41,80.12,69.73,78.11,SMA_16,Teknik Elektro,7,3.17
86.83,75.87,95.81,64.65,66.02,SMA_8,Teknik Elektro,8,3.07
87.62,79.35,82.77,73.44,66.83,SMA_42,Teknik Elektro,2,3.01
81.27,78.52,82.14,71.57,79.04,SMA_7,Teknik Elektro,7,3.53
86.4,89.45,88.59,68.97,79.5,SMA_12,Teknik Elektro,4,3.27
91.19,84.24,84.38,71.53,75.31,SMA_28,Teknik Elektro,1,3.75
93.01,87.94,96.72,66.22,78.18,SMA_17,Teknik Elektro,8,3.48
84.85,76.35,80.12,73.04,71.21,SMA_19,Teknik Elektro,2,3.28
81.56,77.23,82.97,61.82,66.58,SMA_35,Teknik Elektro,1,3.63
92.03,85.09,93.97,67.35,79.3,SMA_33,Teknik Elektro,1,3.68
85.92,89.68,82.95,71.44,79.47,SMA_48,Teknik Elektro,5,3.1
89.42,75.35,97.42,76.21,65.46,SMA_30,Teknik Elektro,5,3.68
80.54,88.62,90.28,69.33,67.46,SMA_39,Teknik Elektro,3,3.14
93.97,82.63,79.02,61.74,71.19,SMA_12,Teknik Komputer,1,3.86
93.34,78.33,85.38,75.88,87.68,SMA_42,Teknik Komputer,6,3.86
94.36,70.43,89.62,67.94,79.78,SMA_42,Teknik Komputer,6,3.79
85.01,78.45,79.25,78.05,79.09,SMA_27,Teknik Komputer,5,3.68
98.06,79.29,86.43,67.4,82.84,SMA_12,Teknik Komputer,3,3.88
90.89,74.34,78.6,65.86,72.42,SMA_37,Teknik Komputer,8,3.71
98.94,82.04,91.51,66.64,78.0,SMA_31,Teknik Komputer,3,3.36
99.88,75.48,81.66,79.14,81.66,SMA_33,Teknik Komputer,8,3.27
90.0,78.18,84.89,63.68,75.6,SMA_27,Teknik Komputer,7,3.43
99.04,77.7,93.24,72.15,75.34,SMA_8,Teknik Komputer,5,3.79
92.57,82.05,88.25,70.56,85.49,SMA_16,Teknik Komputer,8,3.47
89.1,74.91,80.58,68.04,79.64,SMA_5,Teknik Komputer,1,3.94
90.17,82.41,85.79,77.57,71.54,SMA_12,Teknik Komputer,8,3.39
92.77,80.26,76.41,74.24,77.28,SMA_39,Teknik Komputer,2,3.58
