nilai_mtk_sma,nilai_ipa_sma,nilai_fisika_sma,nilai_bahasa_indonesia_sma,nilai_bahasa_inggris_sma,sma_asal,jurusan_kuliah_sekarang,semester_sekarang,ipk_sekarang
81.73,87.65,82.08,74.09,83.87,SMA_24,Teknik Elektro,8,3.35
89.14,87.73,83.62,72.19,75.07,SMA_2,Teknik Elektro,8,3.71
82.0,89.57,99.06,70.8,82.99,SMA_10,Teknik Elektro,1,3.2
83.61,80.78,88.24,64.12,68.97,SMA_44,Teknik Elektro,4,3.35
84.91,89.32,97.3,63.98,76.89,SMA_26,Teknik Elektro,4,3.49
92.89,81.69,93.44,75.91,84.31,SMA_42,Teknik Elektro,3,3.08
89.99,85.05,92.58,65.81,84.97,SMA_34,Teknik Elektro,1,3.39
88.12,76.24,85.51,73.12,65.48,SMA_7,Teknik Elektro,5,3.04
80.44,88.46,97.93,65.99,74.63,SMA_44,Teknik Elektro,3,3.25
91.01,79.47,84.14,62.89,70.83,SMA_20,Teknik Elektro,7,3.6
85.92,78.93,88.09,68.08,66.27,SMA_17,Teknik Elektro,8,3.57
92.03,75.08,99.87,66.21,76.39,SMA_44,Teknik Elektro,5,3.75
83.82,83.15,94.71,64.87,65.1,SMA_34,Teknik Elektro,2,3.62
80.85,82.13,88.9,71.76,77.23,SMA_26,Teknik Elektro,5,3.17
93.0,84.55,91.21,64.91,82.4,SMA_24,Teknik Elektro,6,3.72
83.32,89.67,88.23,74.96,82.67,SMA_41,Teknik Elektro,7,3.44
86.07,88.63,94.54,74.4,84.09,SMA_29,Teknik Elektro,1,3.68
84.74,88.65,87.98,73.91,79.8,SMA_36,Teknik Elektro,5,3.74
81.15,82.88,93.4,62.05,68.69,SMA_35,Teknik Elektro,5,3.66
86.96,85.8,88.38,77.1,80.74,SMA_46,Teknik Komputer,2,3.62
88.46,89.14,92.1,60.85,87.01,SMA_37,Teknik Komputer,5,3.64
92.8,76.09,90.51,73.56,70.78,SMA_44,Teknik Komputer,4,3.39
89.01,85.48,86.6,65.83,86.24,SMA_30,Teknik Komputer,1,3.91
97.44,84.46,80.46,79.61,84.84,SMA_11,Teknik Komputer,6,3.92
91.37,80.85,77.23,67.2,80.69,SMA_41,Teknik Komputer,1,3.37
93.75,74.54,78.21,70.95,73.42,SMA_45,Teknik Komputer,4,3.98
91.63,85.14,83.83,65.66,84.25,SMA_24,Teknik Komputer,7,3.62
95.85,77.63,78.38,62.93,78.01,SMA_19,Teknik Komputer,3,3.77
90.04,87.9,94.06,70.28,79.97,SMA_31,Teknik Komputer,1,3.85
94.02,84.3,82.71,69.63,72.25,SMA_31,Teknik Komputer,2,3.88
96.62,86.31,81.43,60.31,74.54,SMA_34,Teknik Komputer,2,3.68
85.39,82.43,94.36,64.65,82.11,SMA_43,Teknik Komputer,5,3.51
98.23,75.77,81.36,74.7,83.9,SMA_13,Teknik Komputer,6,3.72
86.62,80.06,75.79,73.88,87.45,SMA_20,Teknik Komputer,4,3.86
89.21,74.83,84.87,61.14,70.51,SMA_4,Teknik Komputer,6,3.39
96.7,77.76,90.06,69.44,71.47,SMA_43,Teknik Komputer,6,3.25
99.42,78.24,89.47,71.49,73.8,SMA_9,Teknik Komputer,4,3.33
99.07,70.5,86.63,65.64,77.29,SMA_4,Teknik Komputer,7,3.75
85.89,78.53,86.32,73.67,71.88,SMA_27,Teknik Telekomunikasi,2,3.11
81.05,81.42,91.45,84.23,83.62,SMA_9,Teknik Telekomunikasi,1,3.16
86.66,84.75,91.96,80.1,75.04,SMA_36,Teknik Telekomunikasi,6,3.16
82.98,79.24,84.62,68.28,79.9,SMA_6,Teknik Telekomunikasi,2,3.24
80.94,81.58,80.65,67.87,75.92,SMA_29,Teknik Telekomunikasi,2,3.24
91.9,89.17,94.93,78.11,87.63,SMA_9,Teknik Telekomunikasi,7,3.65
82.11,76.6,90.56,84.59,84.43,SMA_30,Teknik Telekomunikasi,1,3.64
93.4,81.01,90.84,81.21,73.95,SMA_36,Teknik Telekomunikasi,2,3.13
82.74,86.92,89.77,79.32,82.39,SMA_8,Teknik Telekomunikasi,7,3.55
92.16,76.54,80.98,80.39,72.7,SMA_34,Teknik Telekomunikasi,5,3.84
93.15,83.3,80.78,68.26,75.96,SMA_13,Teknik Telekomunikasi,1,3.56
80.13,80.26,87.35,74.77,77.28,SMA_11,Teknik Telekomunikasi,2,3.44
89.26,82.93,92.09,77.22,78.19,SMA_48,Teknik Telekomunikasi,4,3.22
92.15,79.93,94.69,68.79,88.7,SMA_23,Teknik Telekomunikasi,7,3.61
93.92,76.15,88.73,66.08,71.01,SMA_47,Teknik Telekomunikasi,5,3.41
88.75,88.42,81.4,70.23,86.18,SMA_14,Teknik Telekomunikasi,3,3.34
91.75,89.75,85.25,82.75,82.51,SMA_6,Teknik Telekomunikasi,5,3.19
87.57,81.39,94.14,65.83,86.38,SMA_29,Teknik Telekomunikasi,4,3.34
88.68,85.58,89.84,70.76,75.24,SMA_3,Teknik Telekomunikasi,4,3.24
88.87,83.83,84.34,84.36,80.67,SMA_30,Teknik Industri,2,2.94
